"Product Name","Artist","Category","Sub Category","Quantity","Unit Price","Unit Price (Inc Tax)","Tax","Sale Date","Invoice No"
"Roanna Pittman","Eos modi aliquid ne","CD (Sealed)","R&B, Soul & Funk","1","409","409","0","2026-01-13 04:56:04","10147"
"live!!","yngwe malmsteen","Used CD","Metal","1","25","25","0","2026-01-01 00:49:18","10145"
"out of our heads","teh rolling stones","Used Vinyl","Rock","1","12","12","0","2026-01-01 00:48:15","10144"
"home for christmas","amy grant","Used CD","","1","5","5","0","2026-01-01 00:43:58","10143"
"the christmas song","nat king cole","Used CD","","1","8","8","0","2026-01-01 00:43:58","10143"
"merry christmas","bing crosby","Used CD","","1","10","10","0","2026-01-01 00:43:58","10143"
"christmas with","the rat pack","Used CD","","1","8","8","0","2026-01-01 00:43:58","10143"
"merry christmas","johnny mathis","Used CD","","1","5","5","0","2026-01-01 00:43:58","10143"
"michael buble","michael buble","Used CD","","1","5","5","0","2026-01-01 00:43:58","10143"
"christmas","michael buble","Used CD","","1","5","5","0","2026-01-01 00:43:58","10143"
"call of duty 2","","Video Games","","1","12","12","0","2026-01-01 00:31:41","10142"
"kool aid mckinstry","","Trading Cards","","1","4","4","0","2026-01-01 00:30:18","10141"
"jordan davis","","Trading Cards","","1","3","3","0","2026-01-01 00:30:18","10141"
"teaser and the firecat","cat stevens","Used Vinyl","Rock","1","20","20","0","2026-01-01 00:22:24","10140"
"imaginal disk","magdalena bay","Sealed Vinyl","Alt / Indie Rock","1","39","39","0","2025-12-31 23:29:08","10139"
"john lennon - collection","","Used CD","","1","3","3","0","2025-12-31 12:33:28","10137"
"crosby still n nash - american dreams","","Cassettes","","1","3","3","0","2025-12-31 12:33:28","10137"
"t shirt","","Apparel","","1","12","12","0","2025-12-31 11:09:44","10133"
"james brown - in the jungle","","Used CD","","1","6","6","0","2025-12-31 10:57:26","10131"
"the time - dan demo","","Used CD","","1","5","5","0","2025-12-31 10:57:26","10131"
"isley brothera - harvest for the world","","Used Vinyl","","1","7","7","0","2025-12-31 10:41:29","10130"
"marvin gaye - trouble man","","Used Vinyl","","1","17","17","0","2025-12-31 10:35:09","10129"
"billy paul - 360 degrees of billy","","Used Vinyl","","1","4","4","0","2025-12-31 10:35:09","10129"
"frank sinatra - come fly w me","","Used Vinyl","","1","12","12","0","2025-12-31 10:32:45","10128"
"heart - best hits","","Used CD","","1","4","4","0","2025-12-31 10:09:25","10127"
"aqua man","","VHS","","1","7","7","0","2025-12-31 09:06:39","10126"
"kriss kross - da bomb","","Used CD","","1","5","5","0","2025-12-31 08:59:53","10125"
"cheeba cheeba","zion i","Used Vinyl","","1","15","15","0","2025-12-31 08:00:46","10123"
"infected","the the","Used Vinyl","","1","40","40","0","2025-12-31 08:00:46","10123"
"STARBOY","THE WEEKEND","Sealed Vinyl","R&B, Soul & Funk","1","45","45","0","2025-12-31 07:56:52","10122"
"THUNDER IN THE EAST LOUDNESS","WHATNOT","Used Vinyl","Rock","1","20","20","0","2025-12-31 07:07:35","10121"
"pins*3","","","","1","9","9","0","2025-12-31 07:07:01","10120"
"stone temple pilots","stone temple pilots","Used CD","Alt Rock/Indy","1","10","10","0","2025-12-31 07:03:49","10119"
"marvel card","","Trading Cards","","1","5","5","0","2025-12-31 07:03:49","10119"
"HIGH MASEKELA THE PROMISE OF A FUTURE","WHATNOT","Used Vinyl","Jazz","1","8","8","0","2025-12-31 07:01:18","10118"
"BLACKOUT SCORPIONS","WHATNOT","Used Vinyl","Rock","1","14","14","0","2025-12-31 07:01:18","10118"
"CHICAGO","WHATNOT","Used Vinyl","Rock","1","25","25","0","2025-12-31 06:56:57","10117"
"AC/DC BACK TO BLACK","WHATNOT","Used Vinyl","Rock","1","15","15","0","2025-12-31 06:48:19","10114"
"rocky balboa","","DVD/Blu Ray","","1","6","6","0","2025-12-31 06:44:06","10113"
"entourage","","DVD/Blu Ray","","1","5","5","0","2025-12-31 06:44:06","10113"
"I HATE BEING BI-POLAR ITS AWESOME YE","WHATNOT","Sealed Vinyl","Hip-Hop","1","32","32","0","2025-12-31 06:43:50","10112"
"MAGICAL MYSTERY TOUR THE BEATLES","WHATNOT","Sealed Vinyl","Rock","1","45","45","0","2025-12-31 06:33:29","10109"
"jimi hendix blanket","","","","1","16","16","0","2025-12-31 06:14:14","10105"
"boss life","snoop dogg","Used Vinyl","","1","18","18","0","2025-12-31 05:49:42","10104"
"purple rain","prince","Used Vinyl","","1","40","40","0","2025-12-31 05:42:14","10103"
"LAX","THE GAME","Used CD","Hip-Hop","1","4","4","0","2025-12-31 05:38:53","10102"
"NEW LIFE","MONICA","Used CD","Hip-Hop","1","1","1","0","2025-12-31 05:38:53","10102"
"THE MILLIE JACKSON ANTHOLOGY","","Used CD","R&B, Soul, and Funk3","1","5","5","0","2025-12-31 05:38:53","10102"
"STRENGTH & LOYALTY","BONE THUGS N HARMONY","Used CD","Hip-Hop","1","3","3","0","2025-12-31 05:38:53","10102"
"STILL STANDING","MONICA","Used CD","Hip-Hop","1","2","2","0","2025-12-31 05:38:53","10102"
"TIRED","KELLY PRICE","Used CD","Hip-Hop","1","2","2","0","2025-12-31 05:38:53","10102"
"CLASSSIKHAN","CHAKA KHAN","Used CD","R&B, Soul, and Funk3","1","2","2","0","2025-12-31 05:38:53","10102"
"A NIGHT OUT WITH A DJ MIX","BOY GEORGE","Used CD","R&B, Soul, and Funk3","1","5","5","0","2025-12-31 05:38:53","10102"
"shake your money maker","the black crowes","Used Vinyl","","1","120","120","0","2025-12-31 05:27:16","10101"
"central station","","VHS","","1","5","5","0","2025-12-31 05:10:41","10100"
"body heat","","VHS","","1","10","10","0","2025-12-31 05:10:41","10100"
"yu gi oh cards","","Trading Cards","","1","15.5","15.5","0","2025-12-31 05:07:07","10098"
"pokemon card*4","","Trading Cards","Pokemon Cards","1","8","8","0","2025-12-31 04:57:52","10097"
"instrument soundtrack","fugazi","Sealed Vinyl","","1","19","19","0","2025-12-31 04:57:11","10096"
"the art of noise","","7"", 45 RPM","Electronic","1","5","5","0","2025-12-31 04:57:11","10096"
"spiral","","DVD/Blu Ray","","1","7","7","0","2025-12-31 04:43:56","10094"
"chips*2","","","","1","3","3","0","2025-12-31 04:43:00","10093"
"horace grant","","Trading Cards","","1","2","2","0","2025-12-31 04:43:00","10093"
"astroworld","travis scott","Sealed Vinyl","","1","40","40","0","2025-12-31 04:42:05","10092"
"getorade","","","","1","3","3","0","2025-12-31 04:40:23","10090"
"raichu","","Trading Cards","Pokemon Cards","1","20","20","0","2025-12-31 04:16:01","10087"
"dinamita","","","","1","1.5","1.5","0","2025-12-31 04:12:47","10086"
"madam butterfly","tavares","Used Vinyl","","1","7","7","0","2025-12-31 04:06:42","10085"
"toni braxton","","","","1","13","13","0","2025-12-31 03:37:48","10083"
"avenged sevenfold shirt","","","","1","17","17","0","2025-12-31 03:32:51","10082"
"summers over","tv girls jordana","Sealed Vinyl","Alt / Indie Rock","1","30","30","0","2025-12-31 03:32:07","10081"
"loverboy","loverboy","Used Vinyl","Rock","1","12","12","0","2025-12-31 03:30:19","10080"
"turn me loose","loverboy","Used Vinyl","Rock","1","15","15","0","2025-12-31 03:30:19","10080"
"drum night at birdland","art blakey","Used Vinyl","Jazz","1","24","24","0","2025-12-31 03:26:42","10078"
"contradiction","ohio players","Used Vinyl","R&B, Soul & Funk","1","3","3","0","2025-12-31 03:26:42","10078"
"black hawk down","","DVD/Blu Ray","","1","3","3","0","2025-12-31 03:24:27","10077"
"To Whom it may concern","freestyle fellowship","Cassettes - Sealed","hip hop","1","21","21","0","2025-12-31 03:20:12","10076"
"darkness on the edge of town","bruce springsteen","Cassettes","Rock","1","5","5","0","2025-12-31 03:20:12","10076"
"october","u2","Cassettes","Rock","1","5","5","0","2025-12-31 03:20:12","10076"
"breakfast in america","supertramp","Cassettes","Rock","1","3","3","0","2025-12-31 03:20:12","10076"
"footsteps in the dark","cat stevens","Cassettes","Rock","1","3","3","0","2025-12-31 03:20:12","10076"
"I THINK I LOVE YOU","VOICE OF THE BEEHIVE","Used CD","","1","4","4","0","2025-12-31 03:03:12","10075"
"FINALLY ENOUGH LOVE","MADONNA","Used CD","Pop","1","25","25","0","2025-12-31 03:03:12","10075"
"COMPANY","","Used CD","","1","5","5","0","2025-12-31 03:03:12","10075"
"COMPANY","","Used CD","","1","5","5","0","2025-12-31 03:03:12","10075"
"Amadeus","","VHS","","1","4","4","0","2025-12-31 02:41:37","10071"
"Shakespeare","","VHS","","1","5","5","0","2025-12-31 02:41:37","10071"
"Never Been Kissed","","VHS","","1","3","3","0","2025-12-31 02:41:37","10071"
"The Kid","","VHS","","1","3","3","0","2025-12-31 02:41:37","10071"
"Quiz Show","","VHS","","1","4","4","0","2025-12-31 02:41:37","10071"
"The Graduate","","VHS","","1","5","5","0","2025-12-31 02:41:37","10071"
"Splash","","VHS","","1","5","5","0","2025-12-31 02:41:37","10071"
"Imagine","John Lennon","Used Vinyl","Rock","1","30","30","0","2025-12-31 01:56:46","10069"
"the history of the grateful dead","","Books & Magazines","","1","25","25","0","2025-12-31 01:53:43","10068"
"beethoven symphony","karajan","Used CD","Classical","1","8","8","0","2025-12-31 01:50:55","10067"
"objects in the mirror","jeff beal","Used CD","Jazz","1","5","5","0","2025-12-31 01:46:02","10066"
"americna pie","","","","1","3","3","0","2025-12-31 01:36:52","10065"
"dream theater live dvd","","","","1","6","6","0","2025-12-31 01:36:52","10065"
"american wedding","","","","1","4","4","0","2025-12-31 01:36:52","10065"
"water bottle","","","","1","2","2","0","2025-12-31 01:08:52","10062"
"sticker","","","","1","2","2","0","2025-12-31 01:08:52","10062"
"bloom drink","","","","1","4","4","0","2025-12-31 01:05:34","10060"
"lifehouse","lifehouse","Used CD","Punk","1","3","3","0","2025-12-31 01:05:34","10060"
"6 stickers","","","","1","12","12","0","2025-12-31 01:03:48","10059"
"brasileiro","various","Used CD","Latin","1","8","8","0","2025-12-30 23:49:55","10056"
"george michael elton john","george michael elton john","Used CD","Pop","1","5","5","0","2025-12-30 23:49:55","10056"
"freedom","george michael","Used CD","Pop","1","8","8","0","2025-12-30 23:49:55","10056"
"Jazz Record","N/A","Used Vinyl","Jazz","1","50","50","0","2025-12-30 12:08:04","10055"
"Jazz Record","N/A","Sealed Vinyl","Jazz","1","55","55","0","2025-12-30 12:08:04","10055"
"Country Roads","Ernie Ford","Used Vinyl","Country","1","10","10","0","2025-12-30 12:07:24","10054"
"The Mother of Interventions","Various","Used Vinyl","Rock","1","7","7","0","2025-12-30 12:05:48","10053"
"Friends & Strangers","Ronnie Laws","Used Vinyl","Jazz","1","7","7","0","2025-12-30 12:05:48","10053"
"Grand Funk","Various","Used Vinyl","Rock","1","3","3","0","2025-12-30 12:05:48","10053"
"Lethal Weapon 2","","DVD/Blu Ray","Action/Adventure","1","3","3","0","2025-12-30 11:05:04","10051"
"Birds of Avalon","Bazaar Bazaar","Used Vinyl","Rock","1","12.5","12.5","0","2025-12-30 09:53:21","10049"
"Coundown to Extinction","Megadeth","Sealed Vinyl","Metal","1","39","39","0","2025-12-30 09:37:01","10048"
"PSP Game","","Video Games","","1","14","14","0","2025-12-30 09:37:01","10048"
"Water","","Food","Drinks","1","2","2","0","2025-12-30 09:34:57","10047"
"Tha Carter V","Lil Wayne","Sealed Vinyl","Hip-Hop","1","48","48","0","2025-12-30 09:33:13","10046"
"Sticker","","Acessories & Novelties","Patches & Stickers","1","2","2","0","2025-12-30 09:28:17","10045"
"Sticker","","Acessories & Novelties","Patches & Stickers","1","2","2","0","2025-12-30 09:28:17","10045"
"Sticker","","Acessories & Novelties","Patches & Stickers","1","2","2","0","2025-12-30 09:28:17","10045"
"Funhouse","Kid N Play","Cassettes","Hip hop","1","6","6","0","2025-12-30 09:23:27","10044"
"Three The Hard Way","The Impressions","Cassettes","Soul","1","11","11","0","2025-12-30 09:23:27","10044"
"Deepest Purple","Deep Purple","Cassettes","Rock","1","8","8","0","2025-12-30 09:23:27","10044"
"Sabbath Bloody Sabbath","Black Sabbath","Used CD","","1","14","14","0","2025-12-30 09:23:27","10044"
"Apocalypse Now","Various","Used CD","Soundtracks","1","12","12","0","2025-12-30 08:42:52","10042"
"Jig, Amble & Lisp","Jiri.Ceiver","Used CD","Electronic/Dance","1","9","9","0","2025-12-30 08:42:52","10042"
"The SMiths","The Smiths","Sealed CD","","1","17","17","0","2025-12-30 08:40:46","10041"
"CHildren's Book","","Books & Magazines","","1","3","3","0","2025-12-30 08:11:53","10040"
"Children's Book","","Books & Magazines","","1","3","3","0","2025-12-30 08:11:53","10040"
"Chips","","Food","Chips","1","1.5","1.5","0","2025-12-30 08:11:53","10040"
"Chips","","Food","Chips","1","1.5","1.5","0","2025-12-30 08:11:53","10040"
"Pokemon Card","","Trading Cards","Pokemon Cards","1","2","2","0","2025-12-30 07:59:04","10039"
"Dr. Pepper","","Food","Drinks","1","2","2","0","2025-12-30 07:55:30","10038"
"Natural High","","Used Vinyl","R&B, Soul & Funk","1","5","5","0","2025-12-30 07:55:30","10038"
"Commodores","","Used Vinyl","R&B, Soul & Funk","1","4","4","0","2025-12-30 07:55:30","10038"
"Hemispheres","Rush","Used Vinyl","Rock","1","31.99","31.99","0","2025-12-30 07:48:27","10036"
"Soda","","Food","Drinks","1","2","2","0","2025-12-30 07:42:21","10034"
"Pokemon Card","","Trading Cards","Pokemon Cards","1","1.25","1.25","0","2025-12-30 07:42:21","10034"
"LOVERS ROCK","SADE","Used CD","R&B, Soul, and Funk3","1","1","1","0","2025-12-30 07:12:39","10032"
"BAJA MARIMBA BAND","","Used Vinyl","Latin","1","6","6","0","2025-12-30 07:12:39","10032"
"soul food","earth wind","Used CD","R&B, Soul, and Funk3","1","3","3","0","2025-12-30 07:11:14","10031"
"interpretations","soundtrack","Used CD","R&B, Soul, and Funk3","1","6","6","0","2025-12-30 07:11:14","10031"
"im your baby tonight","whitney","Used CD","R&B, Soul, and Funk3","1","5","5","0","2025-12-30 07:11:14","10031"
"BLUE TRAIN","JOHN COLTRANE","Sealed Vinyl","Jazz","1","32","32","0","2025-12-30 07:10:38","10030"
"greatest hits","bob dylan","Used CD","Rock","1","2","2","0","2025-12-30 07:09:15","10029"
"tower of songs","leonard cohen","Used CD","Rock","1","5","5","0","2025-12-30 07:09:15","10029"
"deathstroke","nespaper","Books & Magazines","Magazines (New, Vintage)","1","7","7","0","2025-12-30 07:07:28","10028"
"saturation","urge overkill","Used CD","Alt Rock/Indy","1","3","3","0","2025-12-30 07:07:28","10028"
"NWA","","Used CD","","1","18","18","0","2025-12-30 07:06:58","10027"
"GREATEST HITS","DUKE ELLINGTON","Used CD","","1","4","4","0","2025-12-30 07:06:58","10027"
"LOS 3 CABALLEZEOS","","Used Vinyl","","1","45","45","0","2025-12-30 07:06:58","10027"
"kick","inxs","Used CD","Rock","1","4","4","0","2025-12-30 07:03:57","10024"
"the low spark","traffic","Used CD","Rock","1","3","3","0","2025-12-30 07:03:57","10024"
"the best of","alice cooper","Used CD","Rock","1","6","6","0","2025-12-30 07:03:57","10024"
"queensryche","empire","Cassettes","Rock","1","8","8","0","2025-12-30 07:03:57","10024"
"forever blue","chris isaak","Used CD","Rock","1","5","5","0","2025-12-30 07:03:57","10024"
"parachute","coldplay","Used CD","Rock","1","6","6","0","2025-12-30 07:01:18","10023"
"john coltrane","poster","Pictures & Posters","Posters (band/artist, album art)","1","12","12","0","2025-12-30 06:49:43","10022"
"laufey amatter of time","poster","Pictures & Posters","Posters (band/artist, album art)","1","12","12","0","2025-12-30 06:49:43","10022"
"foreigner 4","foreigner","Cassettes","Rock","1","4","4","0","2025-12-30 06:49:43","10022"
"1NCE AGAIN A TRIBE CALLED QUEST","WHATNOT","Used Vinyl","Hip Hop LPs","1","28","28","0","2025-12-30 06:37:09","10020"
"the catherine wheel","david byrne","Used Vinyl","Soundtracks","1","18","18","0","2025-12-30 06:27:26","10019"
"UNDERGROUND","WHATNOT","Used Vinyl","Hip Hop LPs","1","15","15","0","2025-12-30 06:17:11","10018"
"LET IT BE","THE BEATLES","Used Vinyl","Rock","1","50","50","0","2025-12-30 06:14:36","10017"
"FLOWER BOY","TYLER, THE CREATOR","Sealed Vinyl","Hip-Hop","1","32","32","0","2025-12-30 06:14:01","10016"
"rock city","newspaper","Books & Magazines","Magazines (New, Vintage)","1","10","10","0","2025-12-30 06:04:42","10014"
